season,matchday,team,Pts,Sum,GD
2017-2018,19,UD Las Palmas,11.0,-2.0,-26.0
2017-2018,18,Barcelona,45.0,3.0,38.0
2017-2018,18,Atlético Madrid,36.0,3.0,17.0
2017-2018,18,Valencia,34.0,-2.0,19.0
2017-2018,18,Real Madrid,34.0,2.0,18.0
2017-2018,18,Sevilla FC,29.0,0.0,-2.0
2017-2018,18,Villarreal,27.0,-1.0,4.0
2017-2018,18,SD Eibar,24.0,4.0,-7.0
2017-2018,18,CD Leganés,21.0,-2.0,-4.0
2017-2018,18,Athletic,21.0,2.0,-1.0
2017-2018,18,Real Betis,21.0,-2.0,-6.0
2017-2018,18,Getafe,23.0,0.0,6.0
2017-2018,18,Girona,23.0,0.0,-5.0
2017-2018,18,Real Sociedad,23.0,-1.0,2.0
2017-2018,18,Espanyol,20.0,0.0,-7.0
2017-2018,18,Celta de Vigo,21.0,0.0,5.0
2017-2018,18,Levante,18.0,-2.0,-7.0
2017-2018,18,Dep. La Coruña,15.0,-2.0,-15.0
2017-2018,18,Alavés,15.0,1.0,-12.0
2017-2018,18,UD Las Palmas,11.0,-1.0,-25.0
2017-2018,18,Málaga CF,11.0,-2.0,-18.0
2017-2018,17,Barcelona,42.0,3.0,35.0
2017-2018,17,Atlético Madrid,36.0,4.0,18.0
2017-2018,17,Real Madrid,34.0,3.0,21.0
2017-2018,17,Valencia,34.0,0.0,20.0
2017-2018,17,Sevilla FC,29.0,2.0,0.0
2017-2018,17,Villarreal,24.0,-2.0,3.0
2017-2018,17,SD Eibar,21.0,4.0,-10.0
2017-2018,17,Getafe,20.0,0.0,4.0
2017-2018,17,Real Sociedad,20.0,-2.0,0.0
2017-2018,17,Girona,23.0,1.0,-2.0
2017-2018,17,Real Betis,21.0,-2.0,-4.0
2017-2018,17,CD Leganés,20.0,-3.0,-4.0
2017-2018,17,Athletic,18.0,1.0,-3.0
2017-2018,17,Celta de Vigo,18.0,-2.0,3.0
2017-2018,17,Espanyol,17.0,-2.0,-8.0
2017-2018,17,Levante,17.0,-1.0,-7.0
2017-2018,17,Alavés,12.0,-1.0,-13.0
2017-2018,17,Dep. La Coruña,15.0,-2.0,-13.0
2017-2018,17,UD Las Palmas,11.0,-1.0,-23.0
2017-2018,17,Málaga CF,11.0,0.0,-17.0
2017-2018,16,Barcelona,39.0,3.0,31.0
2017-2018,16,Atlético Madrid,33.0,4.0,17.0
2017-2018,16,Valencia,34.0,2.0,21.0
2017-2018,16,Real Madrid,31.0,3.0,19.0
2017-2018,16,Sevilla FC,28.0,1.0,0.0
2017-2018,16,Villarreal,21.0,-2.0,2.0
2017-2018,16,Girona,20.0,1.0,-3.0
2017-2018,16,SD Eibar,18.0,2.0,-11.0
2017-2018,16,Real Betis,18.0,-3.0,-6.0
2017-2018,16,CD Leganés,20.0,-3.0,-2.0
2017-2018,16,Real Sociedad,19.0,-1.0,0.0
2017-2018,16,Getafe,20.0,1.0,5.0
2017-2018,16,Athletic,17.0,0.0,-3.0
2017-2018,16,Celta de Vigo,18.0,0.0,4.0
2017-2018,16,Levante,16.0,-2.0,-7.0
2017-2018,16,Espanyol,16.0,-3.0,-8.0
2017-2018,16,Dep. La Coruña,15.0,-2.0,-9.0
2017-2018,16,Alavés,12.0,1.0,-12.0
2017-2018,16,UD Las Palmas,10.0,-2.0,-23.0
2017-2018,16,Málaga CF,11.0,0.0,-15.0
2017-2018,15,Barcelona,36.0,3.0,29.0
2017-2018,15,Valencia,31.0,2.0,20.0
2017-2018,15,Atlético Madrid,30.0,3.0,16.0
2017-2018,15,Real Madrid,28.0,1.0,14.0
2017-2018,15,Sevilla FC,28.0,3.0,5.0
2017-2018,15,Villarreal,21.0,-1.0,4.0
2017-2018,15,Getafe,19.0,2.0,5.0
2017-2018,15,CD Leganés,20.0,-3.0,-1.0
2017-2018,15,Girona,17.0,1.0,-4.0
2017-2018,15,Real Sociedad,19.0,-1.0,2.0
2017-2018,15,Real Betis,18.0,-3.0,-5.0
2017-2018,15,SD Eibar,17.0,2.0,-11.0
2017-2018,15,Celta de Vigo,18.0,0.0,5.0
2017-2018,15,Athletic,14.0,-2.0,-4.0
2017-2018,15,Levante,16.0,-1.0,-6.0
2017-2018,15,Espanyol,16.0,-1.0,-7.0
2017-2018,15,Dep. La Coruña,12.0,-2.0,-10.0
2017-2018,15,Alavés,9.0,-1.0,-14.0
2017-2018,15,Málaga CF,8.0,0.0,-17.0
2017-2018,15,UD Las Palmas,10.0,-2.0,-21.0
2017-2018,14,Barcelona,35.0,4.0,29.0
2017-2018,14,Valencia,31.0,4.0,21.0
2017-2018,14,Atlético Madrid,27.0,3.0,15.0
2017-2018,14,Sevilla FC,25.0,1.0,3.0
2017-2018,14,Real Madrid,27.0,2.0,14.0
2017-2018,14,Villarreal,21.0,1.0,6.0
2017-2018,14,CD Leganés,17.0,-3.0,-3.0
2017-2018,14,Getafe,16.0,1.0,4.0
2017-2018,14,Real Sociedad,19.0,0.0,3.0
2017-2018,14,Celta de Vigo,17.0,-1.0,5.0
2017-2018,14,Real Betis,18.0,-1.0,-4.0
2017-2018,14,SD Eibar,14.0,0.0,-13.0
2017-2018,14,Girona,17.0,3.0,-3.0
2017-2018,14,Levante,15.0,-1.0,-6.0
2017-2018,14,Espanyol,16.0,0.0,-5.0
2017-2018,14,Athletic,13.0,-3.0,-4.0
2017-2018,14,Dep. La Coruña,12.0,-2.0,-8.0
2017-2018,14,UD Las Palmas,7.0,-4.0,-22.0
2017-2018,14,Alavés,6.0,-3.0,-15.0
2017-2018,14,Málaga CF,7.0,-1.0,-17.0
2017-2018,13,Barcelona,34.0,4.0,29.0
2017-2018,13,Valencia,30.0,5.0,21.0
2017-2018,13,Real Madrid,24.0,2.0,13.0
2017-2018,13,Atlético Madrid,24.0,2.0,10.0
2017-2018,13,Sevilla FC,22.0,-1.0,2.0
2017-2018,13,Villarreal,21.0,3.0,7.0
2017-2018,13,Real Sociedad,18.0,1.0,3.0
2017-2018,13,Real Betis,17.0,-2.0,-4.0
2017-2018,13,Celta de Vigo,14.0,-1.0,4.0
2017-2018,13,CD Leganés,17.0,-1.0,-2.0
2017-2018,13,Girona,16.0,2.0,-3.0
2017-2018,13,Espanyol,13.0,-1.0,-6.0
2017-2018,13,Getafe,16.0,1.0,5.0
2017-2018,13,Levante,15.0,0.0,-1.0
2017-2018,13,SD Eibar,11.0,-1.0,-14.0
2017-2018,13,Athletic,12.0,-2.0,-4.0
2017-2018,13,Dep. La Coruña,11.0,-2.0,-8.0
2017-2018,13,Málaga CF,7.0,-1.0,-16.0
2017-2018,13,UD Las Palmas,6.0,-5.0,-22.0
2017-2018,13,Alavés,6.0,-3.0,-14.0
2017-2018,12,Barcelona,31.0,4.0,26.0
2017-2018,12,Valencia,27.0,5.0,19.0
2017-2018,12,Atlético Madrid,23.0,2.0,10.0
2017-2018,12,Real Madrid,23.0,3.0,13.0
2017-2018,12,Sevilla FC,19.0,-1.0,1.0
2017-2018,12,Villarreal,20.0,4.0,7.0
2017-2018,12,Real Sociedad,17.0,1.0,3.0
2017-2018,12,CD Leganés,17.0,0.0,1.0
2017-2018,12,Real Betis,17.0,-1.0,1.0
2017-2018,12,Girona,15.0,2.0,-3.0
2017-2018,12,Getafe,13.0,-1.0,2.0
2017-2018,12,Levante,12.0,-2.0,-3.0
2017-2018,12,Celta de Vigo,14.0,0.0,5.0
2017-2018,12,Espanyol,13.0,-1.0,-4.0
2017-2018,12,Athletic,11.0,-3.0,-4.0
2017-2018,12,SD Eibar,8.0,-3.0,-19.0
2017-2018,12,Dep. La Coruña,11.0,0.0,-7.0
2017-2018,12,Málaga CF,4.0,-3.0,-17.0
2017-2018,12,UD Las Palmas,6.0,-5.0,-20.0
2017-2018,12,Alavés,6.0,-1.0,-11.0
2017-2018,11,Barcelona,28.0,4.0,25.0
2017-2018,11,Valencia,24.0,5.0,16.0
2017-2018,11,Real Madrid,20.0,3.0,10.0
2017-2018,11,Atlético Madrid,20.0,2.0,9.0
2017-2018,11,Villarreal,17.0,2.0,5.0
2017-2018,11,Sevilla FC,19.0,-1.0,2.0
2017-2018,11,Real Betis,16.0,0.0,1.0
2017-2018,11,Real Sociedad,14.0,-1.0,1.0
2017-2018,11,CD Leganés,17.0,2.0,4.0
2017-2018,11,Girona,12.0,0.0,-4.0
2017-2018,11,Celta de Vigo,11.0,0.0,3.0
2017-2018,11,Getafe,12.0,0.0,2.0
2017-2018,11,Espanyol,13.0,1.0,-3.0
2017-2018,11,Levante,12.0,-2.0,-2.0
2017-2018,11,Dep. La Coruña,11.0,0.0,-6.0
2017-2018,11,Athletic,11.0,-2.0,-2.0
2017-2018,11,SD Eibar,8.0,-3.0,-17.0
2017-2018,11,Alavés,3.0,-3.0,-12.0
2017-2018,11,UD Las Palmas,6.0,-5.0,-17.0
2017-2018,11,Málaga CF,4.0,-2.0,-15.0
2017-2018,10,Barcelona,25.0,4.0,23.0
2017-2018,10,Valencia,21.0,5.0,15.0
2017-2018,10,Atlético Madrid,19.0,3.0,9.0
2017-2018,10,Real Madrid,20.0,3.0,11.0
2017-2018,10,Sevilla FC,16.0,-1.0,1.0
2017-2018,10,Villarreal,16.0,2.0,5.0
2017-2018,10,CD Leganés,17.0,3.0,5.0
2017-2018,10,Real Betis,16.0,2.0,2.0
2017-2018,10,Real Sociedad,14.0,-1.0,2.0
2017-2018,10,Espanyol,10.0,0.0,-4.0
2017-2018,10,Getafe,9.0,-1.0,1.0
2017-2018,10,Girona,9.0,-1.0,-5.0
2017-2018,10,Levante,11.0,-1.0,-2.0
2017-2018,10,Athletic,11.0,-2.0,0.0
2017-2018,10,Celta de Vigo,11.0,1.0,4.0
2017-2018,10,Dep. La Coruña,8.0,0.0,-8.0
2017-2018,10,SD Eibar,7.0,-4.0,-17.0
2017-2018,10,UD Las Palmas,6.0,-5.0,-15.0
2017-2018,10,Málaga CF,1.0,-4.0,-16.0
2017-2018,10,Alavés,3.0,-3.0,-11.0
2017-2018,9,Barcelona,22.0,4.0,21.0
2017-2018,9,Valencia,18.0,4.0,11.0
2017-2018,9,Real Madrid,17.0,3.0,8.0
2017-2018,9,Atlético Madrid,16.0,3.0,8.0
2017-2018,9,CD Leganés,14.0,1.0,4.0
2017-2018,9,Real Betis,13.0,2.0,0.0
2017-2018,9,Villarreal,13.0,2.0,1.0
2017-2018,9,Sevilla FC,16.0,1.0,5.0
2017-2018,9,Real Sociedad,13.0,-2.0,2.0
2017-2018,9,Levante,10.0,-1.0,-2.0
2017-2018,9,Celta de Vigo,11.0,1.0,5.0
2017-2018,9,Athletic,11.0,-2.0,1.0
2017-2018,9,Espanyol,9.0,1.0,-4.0
2017-2018,9,Getafe,8.0,-2.0,1.0
2017-2018,9,Girona,6.0,-3.0,-6.0
2017-2018,9,Dep. La Coruña,8.0,0.0,-7.0
2017-2018,9,SD Eibar,7.0,-2.0,-14.0
2017-2018,9,UD Las Palmas,6.0,-3.0,-11.0
2017-2018,9,Alavés,3.0,-3.0,-9.0
2017-2018,9,Málaga CF,1.0,-4.0,-14.0
2017-2018,8,Barcelona,21.0,5.0,21.0
2017-2018,8,Valencia,15.0,3.0,8.0
2017-2018,8,Real Madrid,14.0,2.0,7.0
2017-2018,8,Atlético Madrid,15.0,3.0,8.0
2017-2018,8,Sevilla FC,16.0,3.0,6.0
2017-2018,8,CD Leganés,11.0,-1.0,2.0
2017-2018,8,Real Betis,13.0,2.0,3.0
2017-2018,8,Real Sociedad,10.0,-2.0,0.0
2017-2018,8,Villarreal,10.0,2.0,0.0
2017-2018,8,Athletic,8.0,-2.0,0.0
2017-2018,8,Celta de Vigo,8.0,1.0,2.0
2017-2018,8,Levante,9.0,-1.0,-2.0
2017-2018,8,Espanyol,8.0,0.0,-4.0
2017-2018,8,Getafe,8.0,0.0,2.0
2017-2018,8,Dep. La Coruña,7.0,-1.0,-7.0
2017-2018,8,SD Eibar,6.0,-3.0,-14.0
2017-2018,8,Girona,6.0,-3.0,-5.0
2017-2018,8,UD Las Palmas,6.0,-1.0,-8.0
2017-2018,8,Alavés,3.0,-3.0,-7.0
2017-2018,8,Málaga CF,1.0,-4.0,-12.0
2017-2018,7,Barcelona,18.0,5.0,18.0
2017-2018,7,Sevilla FC,13.0,3.0,4.0
2017-2018,7,Valencia,12.0,2.0,7.0
2017-2018,7,Atlético Madrid,14.0,4.0,8.0
2017-2018,7,Real Madrid,11.0,1.0,5.0
2017-2018,7,Real Betis,12.0,3.0,3.0
2017-2018,7,CD Leganés,10.0,0.0,2.0
2017-2018,7,Real Sociedad,9.0,-1.0,0.0
2017-2018,7,Villarreal,7.0,0.0,-3.0
2017-2018,7,Levante,9.0,0.0,0.0
2017-2018,7,Celta de Vigo,7.0,0.0,2.0
2017-2018,7,Getafe,8.0,0.0,3.0
2017-2018,7,Athletic,8.0,0.0,1.0
2017-2018,7,Espanyol,8.0,0.0,-2.0
2017-2018,7,Dep. La Coruña,4.0,-2.0,-8.0
2017-2018,7,Girona,5.0,-2.0,-5.0
2017-2018,7,UD Las Palmas,6.0,-1.0,-5.0
2017-2018,7,SD Eibar,6.0,-3.0,-11.0
2017-2018,7,Alavés,0.0,-5.0,-9.0
2017-2018,7,Málaga CF,1.0,-4.0,-10.0
2017-2018,6,Barcelona,15.0,5.0,15.0
2017-2018,6,Atlético Madrid,11.0,3.0,6.0
2017-2018,6,Sevilla FC,13.0,4.0,6.0
2017-2018,6,Real Betis,9.0,1.0,-1.0
2017-2018,6,Valencia,9.0,2.0,6.0
2017-2018,6,Real Madrid,8.0,1.0,4.0
2017-2018,6,CD Leganés,7.0,0.0,0.0
2017-2018,6,Real Sociedad,9.0,1.0,1.0
2017-2018,6,Levante,9.0,2.0,4.0
2017-2018,6,Espanyol,5.0,-1.0,-5.0
2017-2018,6,Getafe,5.0,-1.0,-1.0
2017-2018,6,Athletic,7.0,0.0,1.0
2017-2018,6,Villarreal,7.0,0.0,1.0
2017-2018,6,Celta de Vigo,4.0,-2.0,-2.0
2017-2018,6,UD Las Palmas,6.0,-1.0,-3.0
2017-2018,6,SD Eibar,6.0,-1.0,-7.0
2017-2018,6,Girona,5.0,-1.0,-2.0
2017-2018,6,Dep. La Coruña,4.0,-2.0,-5.0
2017-2018,6,Málaga CF,0.0,-5.0,-10.0
2017-2018,6,Alavés,0.0,-5.0,-8.0
2017-2018,5,Barcelona,12.0,4.0,10.0
2017-2018,5,Sevilla FC,10.0,3.0,5.0
2017-2018,5,Atlético Madrid,8.0,2.0,5.0
2017-2018,5,Valencia,6.0,1.0,1.0
2017-2018,5,Levante,6.0,1.0,1.0
2017-2018,5,Real Betis,6.0,0.0,-2.0
2017-2018,5,Real Sociedad,9.0,2.0,4.0
2017-2018,5,Real Madrid,8.0,2.0,5.0
2017-2018,5,CD Leganés,6.0,0.0,0.0
2017-2018,5,Athletic,7.0,1.0,2.0
2017-2018,5,Villarreal,6.0,0.0,1.0
2017-2018,5,SD Eibar,6.0,0.0,-2.0
2017-2018,5,UD Las Palmas,6.0,0.0,-2.0
2017-2018,5,Girona,4.0,-1.0,-2.0
2017-2018,5,Espanyol,4.0,-1.0,-5.0
2017-2018,5,Getafe,4.0,-1.0,-1.0
2017-2018,5,Dep. La Coruña,1.0,-3.0,-6.0
2017-2018,5,Celta de Vigo,3.0,-2.0,-2.0
2017-2018,5,Málaga CF,0.0,-4.0,-5.0
2017-2018,5,Alavés,0.0,-4.0,-7.0
2017-2018,4,Barcelona,9.0,3.0,9.0
2017-2018,4,Sevilla FC,7.0,2.0,4.0
2017-2018,4,Real Sociedad,9.0,3.0,6.0
2017-2018,4,Atlético Madrid,5.0,1.0,4.0
2017-2018,4,Real Madrid,5.0,1.0,3.0
2017-2018,4,Athletic,7.0,2.0,3.0
2017-2018,4,SD Eibar,3.0,-1.0,-3.0
2017-2018,4,Levante,5.0,1.0,1.0
2017-2018,4,Real Betis,3.0,-1.0,-3.0
2017-2018,4,UD Las Palmas,3.0,-1.0,-3.0
2017-2018,4,CD Leganés,6.0,1.0,1.0
2017-2018,4,Valencia,5.0,1.0,1.0
2017-2018,4,Villarreal,3.0,-1.0,-2.0
2017-2018,4,Getafe,4.0,0.0,0.0
2017-2018,4,Girona,4.0,0.0,-1.0
2017-2018,4,Espanyol,1.0,-2.0,-6.0
2017-2018,4,Celta de Vigo,3.0,-1.0,-1.0
2017-2018,4,Dep. La Coruña,1.0,-2.0,-5.0
2017-2018,4,Alavés,0.0,-3.0,-4.0
2017-2018,4,Málaga CF,0.0,-3.0,-4.0
2017-2018,3,Barcelona,6.0,2.0,4.0
2017-2018,3,Real Sociedad,6.0,2.0,4.0
2017-2018,3,Sevilla FC,4.0,1.0,1.0
2017-2018,3,Athletic,4.0,1.0,1.0
2017-2018,3,CD Leganés,6.0,2.0,2.0
2017-2018,3,Real Madrid,4.0,1.0,3.0
2017-2018,3,Valencia,4.0,1.0,1.0
2017-2018,3,Levante,4.0,1.0,1.0
2017-2018,3,Atlético Madrid,4.0,1.0,4.0
2017-2018,3,Getafe,1.0,-1.0,-1.0
2017-2018,3,Girona,4.0,1.0,1.0
2017-2018,3,Celta de Vigo,0.0,-2.0,-2.0
2017-2018,3,Villarreal,0.0,-2.0,-4.0
2017-2018,3,SD Eibar,3.0,0.0,0.0
2017-2018,3,Real Betis,3.0,0.0,-1.0
2017-2018,3,UD Las Palmas,0.0,-2.0,-5.0
2017-2018,3,Dep. La Coruña,1.0,-1.0,-3.0
2017-2018,3,Espanyol,1.0,-1.0,-1.0
2017-2018,3,Málaga CF,0.0,-2.0,-2.0
2017-2018,3,Alavés,0.0,-2.0,-3.0
2017-2018,2,Real Sociedad,3.0,1.0,1.0
2017-2018,2,Barcelona,3.0,1.0,2.0
2017-2018,2,CD Leganés,3.0,1.0,1.0
2017-2018,2,Girona,1.0,0.0,0.0
2017-2018,2,Levante,3.0,1.0,1.0
2017-2018,2,Real Madrid,3.0,1.0,3.0
2017-2018,2,Atlético Madrid,1.0,0.0,0.0
2017-2018,2,Athletic,1.0,0.0,0.0
2017-2018,2,Sevilla FC,1.0,0.0,0.0
2017-2018,2,Valencia,3.0,1.0,1.0
2017-2018,2,Real Betis,0.0,-1.0,-2.0
2017-2018,2,SD Eibar,3.0,1.0,1.0
2017-2018,2,Espanyol,1.0,0.0,0.0
2017-2018,2,Getafe,1.0,0.0,0.0
2017-2018,2,Dep. La Coruña,0.0,-1.0,-3.0
2017-2018,2,Alavés,0.0,-1.0,-1.0
2017-2018,2,UD Las Palmas,0.0,-1.0,-1.0
2017-2018,2,Villarreal,0.0,-1.0,-1.0
2017-2018,2,Celta de Vigo,0.0,-1.0,-1.0
2017-2018,2,Málaga CF,0.0,-1.0,-1.0
2017-2018,1,CD Leganés,0.0,0.0,0.0
2017-2018,1,Valencia,0.0,0.0,0.0
2017-2018,1,Barcelona,0.0,0.0,0.0
2017-2018,1,Levante,0.0,0.0,0.0
2017-2018,1,Real Sociedad,0.0,0.0,0.0
2017-2018,1,Real Madrid,0.0,0.0,0.0
2017-2018,1,SD Eibar,0.0,0.0,0.0
2017-2018,1,Girona,0.0,0.0,0.0
2017-2018,1,Sevilla FC,0.0,0.0,0.0
2017-2018,1,Athletic,0.0,0.0,0.0
2017-2018,1,Atlético Madrid,0.0,0.0,0.0
2017-2018,1,Espanyol,0.0,0.0,0.0
2017-2018,1,Getafe,0.0,0.0,0.0
2017-2018,1,Celta de Vigo,0.0,0.0,0.0
2017-2018,1,Dep. La Coruña,0.0,0.0,0.0
2017-2018,1,Málaga CF,0.0,0.0,0.0
2017-2018,1,Alavés,0.0,0.0,0.0
2017-2018,1,UD Las Palmas,0.0,0.0,0.0
2017-2018,1,Real Betis,0.0,0.0,0.0
2017-2018,1,Villarreal,0.0,0.0,0.0
2017-2018,42,Rayo Vallecano,76.0,1.0,21.0
2017-2018,42,SD Huesca,75.0,2.0,22.0
2017-2018,42,Real Zaragoza,68.0,2.0,11.0
2017-2018,42,Sporting Gijón,71.0,-1.0,23.0
2017-2018,42,Real Valladolid,64.0,2.0,12.0
2017-2018,42,CD Numancia,62.0,-2.0,10.0
2017-2018,42,Real Oviedo,62.0,-1.0,5.0
2017-2018,42,CA Osasuna,64.0,3.0,12.0
2017-2018,42,Cádiz CF,64.0,0.0,14.0
2017-2018,42,Granada CF,58.0,-3.0,4.0
2017-2018,42,CD Tenerife,58.0,0.0,8.0
2017-2018,42,CD Lugo,54.0,-1.0,-9.0
2017-2018,42,Gimnàstic,49.0,-1.0,-8.0
2017-2018,42,Alcorcón,49.0,0.0,-8.0
2017-2018,42,Reus Deportiu,52.0,-1.0,-8.0
2017-2018,42,Córdoba CF,48.0,1.0,-11.0
2017-2018,42,Albacete,48.0,-3.0,-11.0
2017-2018,42,CyD Leonesa,48.0,1.0,-12.0
2017-2018,42,UD Almería,47.0,1.0,-7.0
2017-2018,42,Barcelona B,44.0,0.0,-6.0
2017-2018,42,Lorca FC,30.0,-1.0,-32.0
2017-2018,42,Sevilla Atl.,32.0,1.0,-30.0
2017-2018,41,Rayo Vallecano,73.0,1.0,20.0
2017-2018,41,SD Huesca,75.0,4.0,23.0
2017-2018,41,Sporting Gijón,68.0,-2.0,22.0
2017-2018,41,Real Zaragoza,65.0,2.0,10.0
2017-2018,41,Cádiz CF,63.0,0.0,14.0
2017-2018,41,CA Osasuna,61.0,2.0,11.0
2017-2018,41,Real Valladolid,64.0,4.0,13.0
2017-2018,41,Real Oviedo,62.0,-1.0,7.0
2017-2018,41,CD Numancia,62.0,-1.0,11.0
2017-2018,41,CD Tenerife,57.0,-1.0,8.0
2017-2018,41,Granada CF,58.0,-2.0,5.0
2017-2018,41,CD Lugo,54.0,0.0,-8.0
2017-2018,41,Reus Deportiu,52.0,1.0,-7.0
2017-2018,41,Alcorcón,48.0,0.0,-8.0
2017-2018,41,Gimnàstic,46.0,-2.0,-9.0
2017-2018,41,Albacete,47.0,-4.0,-11.0
2017-2018,41,CyD Leonesa,45.0,0.0,-14.0
2017-2018,41,Córdoba CF,45.0,1.0,-12.0
2017-2018,41,UD Almería,46.0,0.0,-7.0
2017-2018,41,Barcelona B,43.0,-1.0,-6.0
2017-2018,41,Sevilla Atl.,29.0,-1.0,-31.0
2017-2018,41,Lorca FC,30.0,0.0,-31.0
2017-2018,40,SD Huesca,72.0,4.0,21.0
2017-2018,40,Rayo Vallecano,73.0,3.0,24.0
2017-2018,40,Sporting Gijón,68.0,0.0,23.0
2017-2018,40,Real Zaragoza,62.0,0.0,7.0
2017-2018,40,Real Valladolid,61.0,2.0,9.0
2017-2018,40,Cádiz CF,63.0,0.0,16.0
2017-2018,40,Real Oviedo,59.0,-1.0,6.0
2017-2018,40,CD Numancia,61.0,0.0,11.0
2017-2018,40,CA Osasuna,60.0,2.0,11.0
2017-2018,40,Granada CF,55.0,-3.0,4.0
2017-2018,40,CD Tenerife,54.0,-3.0,7.0
2017-2018,40,CD Lugo,54.0,0.0,-6.0
2017-2018,40,Reus Deportiu,52.0,3.0,-6.0
2017-2018,40,Alcorcón,45.0,-1.0,-12.0
2017-2018,40,Albacete,47.0,-3.0,-8.0
2017-2018,40,Gimnàstic,43.0,-4.0,-11.0
2017-2018,40,UD Almería,46.0,1.0,-5.0
2017-2018,40,Córdoba CF,42.0,0.0,-14.0
2017-2018,40,CyD Leonesa,45.0,2.0,-12.0
2017-2018,40,Barcelona B,40.0,-3.0,-8.0
2017-2018,40,Lorca FC,30.0,1.0,-27.0
2017-2018,40,Sevilla Atl.,29.0,0.0,-30.0
2017-2018,39,Rayo Vallecano,73.0,5.0,25.0
2017-2018,39,SD Huesca,71.0,3.0,21.0
2017-2018,39,Sporting Gijón,68.0,2.0,24.0
2017-2018,39,Cádiz CF,60.0,-1.0,14.0
2017-2018,39,Real Zaragoza,62.0,2.0,9.0
2017-2018,39,Real Valladolid,58.0,0.0,8.0
2017-2018,39,CD Numancia,61.0,2.0,12.0
2017-2018,39,CA Osasuna,57.0,1.0,10.0
2017-2018,39,Real Oviedo,59.0,1.0,7.0
2017-2018,39,Granada CF,55.0,-2.0,6.0
2017-2018,39,CD Tenerife,53.0,-2.0,7.0
2017-2018,39,CD Lugo,53.0,-1.0,-6.0
2017-2018,39,Reus Deportiu,51.0,2.0,-6.0
2017-2018,39,Albacete,47.0,-3.0,-7.0
2017-2018,39,UD Almería,43.0,0.0,-7.0
2017-2018,39,CyD Leonesa,44.0,3.0,-12.0
2017-2018,39,Alcorcón,44.0,-2.0,-12.0
2017-2018,39,Gimnàstic,43.0,-2.0,-10.0
2017-2018,39,Córdoba CF,39.0,0.0,-15.0
2017-2018,39,Barcelona B,37.0,-5.0,-9.0
2017-2018,39,Lorca FC,27.0,-1.0,-28.0
2017-2018,39,Sevilla Atl.,26.0,-2.0,-31.0
2017-2018,38,Rayo Vallecano,70.0,4.0,23.0
2017-2018,38,SD Huesca,68.0,2.0,19.0
2017-2018,38,Sporting Gijón,68.0,4.0,25.0
2017-2018,38,Real Zaragoza,59.0,2.0,8.0
2017-2018,38,CD Numancia,61.0,4.0,13.0
2017-2018,38,Cádiz CF,59.0,-1.0,14.0
2017-2018,38,Real Oviedo,56.0,-1.0,5.0
2017-2018,38,Real Valladolid,55.0,0.0,7.0
2017-2018,38,CA Osasuna,54.0,-1.0,8.0
2017-2018,38,Granada CF,55.0,-2.0,8.0
2017-2018,38,CD Tenerife,52.0,-1.0,7.0
2017-2018,38,CD Lugo,50.0,-3.0,-7.0
2017-2018,38,Reus Deportiu,48.0,0.0,-7.0
2017-2018,38,Albacete,46.0,-3.0,-7.0
2017-2018,38,Alcorcón,43.0,-1.0,-12.0
2017-2018,38,CyD Leonesa,43.0,2.0,-12.0
2017-2018,38,Gimnàstic,43.0,0.0,-8.0
2017-2018,38,UD Almería,42.0,-1.0,-7.0
2017-2018,38,Córdoba CF,39.0,0.0,-13.0
2017-2018,38,Barcelona B,37.0,-5.0,-8.0
2017-2018,38,Lorca FC,27.0,1.0,-26.0
2017-2018,38,Sevilla Atl.,26.0,0.0,-30.0
2017-2018,37,Rayo Vallecano,67.0,2.0,21.0
2017-2018,37,SD Huesca,65.0,1.0,18.0
2017-2018,37,Sporting Gijón,65.0,4.0,24.0
2017-2018,37,CD Numancia,58.0,2.0,10.0
2017-2018,37,Real Zaragoza,58.0,1.0,8.0
2017-2018,37,Cádiz CF,58.0,-1.0,14.0
2017-2018,37,Real Oviedo,56.0,0.0,8.0
2017-2018,37,Real Valladolid,54.0,0.0,7.0
2017-2018,37,Granada CF,55.0,0.0,9.0
2017-2018,37,CA Osasuna,53.0,0.0,8.0
2017-2018,37,CD Tenerife,52.0,1.0,9.0
2017-2018,37,CD Lugo,49.0,-3.0,-7.0
2017-2018,37,Reus Deportiu,47.0,1.0,-7.0
2017-2018,37,Albacete,46.0,-2.0,-6.0
2017-2018,37,CyD Leonesa,40.0,1.0,-13.0
2017-2018,37,Alcorcón,43.0,1.0,-11.0
2017-2018,37,Gimnàstic,43.0,0.0,-7.0
2017-2018,37,UD Almería,39.0,-3.0,-8.0
2017-2018,37,Córdoba CF,39.0,1.0,-12.0
2017-2018,37,Barcelona B,37.0,-5.0,-7.0
2017-2018,37,Lorca FC,24.0,-1.0,-27.0
2017-2018,37,Sevilla Atl.,23.0,0.0,-31.0
2017-2018,36,Rayo Vallecano,64.0,2.0,20.0
2017-2018,36,SD Huesca,62.0,-1.0,16.0
2017-2018,36,Sporting Gijón,64.0,5.0,24.0
2017-2018,36,Real Zaragoza,55.0,1.0,7.0
2017-2018,36,Cádiz CF,57.0,0.0,14.0
2017-2018,36,CD Numancia,57.0,3.0,10.0
2017-2018,36,Real Oviedo,56.0,2.0,9.0
2017-2018,36,Granada CF,54.0,-1.0,9.0
2017-2018,36,Real Valladolid,51.0,0.0,6.0
